,total_return,annualized_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,volatility,win_rate,avg_turnover,total_transaction_costs,final_value,n_periods,n_trades
Merton,-0.17679464535135514,-0.7535896508093147,-1.4180468302634213,-2.344151405772887,-2.313346573004873,0.32575735067247413,0.8054091172156609,0.3235294117647059,0.02152718217235789,343.8033881500266,82320.53546486449,34.0,56.0
Mean-Variance,-0.3284651687308363,-0.9431286530584151,-3.554190357847744,-5.475404021032107,-2.52496220179133,0.37352188970960204,0.7528229600073961,0.29411764705882354,0.05146432569325716,701.1151783296267,67153.48312691637,34.0,56.0
Equal-Weight,-0.17679464535135514,-0.7535896508093147,-1.4180468302634213,-2.344151405772887,-2.313346573004873,0.32575735067247413,0.8054091172156609,0.3235294117647059,0.02152718217235789,343.8033881500266,82320.53546486449,34.0,56.0
Buy-and-Hold,-0.19549321506600215,-0.791159886669623,-1.699784930508288,-2.748002138945471,-2.396843666114709,0.3300840592378291,0.7816791535521872,0.3235294117647059,0.03571428571428571,300.00000000000017,80450.67849339978,34.0,28.0
Risk Parity,-0.1889988710608249,-0.7787137123148022,-1.6044881573881247,-2.6094510030117917,-2.3581953176601247,0.33021595220851613,0.7881989845344145,0.3235294117647059,0.020967214683938442,337.11995205032486,81100.11289391751,34.0,56.0
