,total_return,annualized_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,volatility,win_rate,avg_turnover,total_transaction_costs,final_value,n_periods,n_trades
Merton,0.054006636117228446,0.15680057151596904,1.1083240428465075,1.4707226056406564,2.627722161423363,0.05967167070320501,0.12166770489126034,0.5555555555555556,0.011928399698313009,813.5403991493307,105400.66361172283,90.0,222.0
Mean-Variance,0.11318545700339344,0.3457246889743133,1.0409113151286138,1.8896380468090952,3.238892884227399,0.10674162478725566,0.3163098304244877,0.4666666666666667,0.03204331627732717,1009.0680059250271,111318.54570033934,90.0,102.0
Equal-Weight,0.047372502299883656,0.13674950102705807,0.9965291537258751,1.3703241346314443,2.284165964073584,0.05986846103913521,0.11701355687937806,0.5222222222222223,0.004642285235410663,349.74959973458374,104737.25022998836,90.0,250.0
Buy-and-Hold,0.04896754688857552,0.14154993487093814,1.0319100459138602,1.421012150428502,2.411134592545505,0.05870677452373148,0.11714747796384077,0.5222222222222223,0.02,300.0,104896.75468885756,90.0,50.0
Risk Parity,0.04217604597383451,0.12119979514180179,0.9005748819639273,1.2395705271015942,2.0132290057658313,0.060201693297031275,0.11357103362286955,0.5444444444444444,0.006719238563947492,509.8743625734032,104217.60459738344,90.0,250.0
