Model,ROI,Sharpe,Sortino,Calmar,MDD,Turnover
Buy-and-Hold (9 imputed),0.025247483350370022,0.6773482678766133,1.1294298005771546,0.9934314670075423,-0.07450225935889376,0.0
Mean-Variance (9 imputed),-0.36095607033715094,-4.890333067393554,-6.136390761185566,-1.9016041639957584,-0.3799935422115702,0.3775666426865149
"LSTM-SAC (no graph, mask)",-0.0308069179299417,-0.6632007329973767,-1.0473739772016282,-0.9245469943157225,-0.09270466200854255,0.5447626709938049
Static-Graph GNN-SAC (mask),0.03547861734264239,0.8589730141488808,1.4597396122800212,1.3869308335985044,-0.07570017684405983,8.19730132661789e-07
"Event-Driven GNN-SAC (Ours, mask)",-0.06422816483650153,-0.839271886865203,-1.2589152995348682,-1.1997322499813365,-0.14430078497791443,0.08178482204675674
