Period,Date,GNN_SAC,Equal_Weight,Buy_and_Hold
COVID-19,2020-02-20,1.0,1.0,1.0
COVID-19,2020-02-21,0.9886094505677853,0.9923695342921518,0.9923695342921526
COVID-19,2020-02-24,0.9615093827321696,0.9630000260388909,0.9632320374197012
COVID-19,2020-02-25,0.9372444311206323,0.9361580899657135,0.9364313438329991
COVID-19,2020-02-26,0.9382834468863079,0.9357207391730444,0.9362562084282984
COVID-19,2020-02-27,0.9086995636245571,0.8974036027262603,0.8981911419474915
COVID-19,2020-02-28,0.9000109537191999,0.88709687151724,0.8873511321486401
COVID-19,2020-03-02,0.9479417845551328,0.9240889133392679,0.92459851212285
COVID-19,2020-03-03,0.9210077911687098,0.8989856628631802,0.899649445467842
COVID-19,2020-03-04,0.9582393087372193,0.9317362033319091,0.9326835770638762
COVID-19,2020-03-05,0.9310045945615244,0.903591894799451,0.9052615046446042
COVID-19,2020-03-06,0.9251437976727083,0.8900447558220436,0.8928311530657596
COVID-19,2020-03-09,0.8597745706792884,0.8086788364230355,0.8134630140790313
COVID-19,2020-03-10,0.8973684078766049,0.8477156711425707,0.851211153011524
COVID-19,2020-03-11,0.8529767697279009,0.8034043813902354,0.8082850098581329
COVID-19,2020-03-12,0.7753312179264735,0.7197811977786539,0.7267288010282811
COVID-19,2020-03-13,0.8422022498434972,0.7922259812053063,0.7975344176971789
COVID-19,2020-03-16,0.7581645835105568,0.7004788273426029,0.7095428264117463
COVID-19,2020-03-17,0.8056148404200282,0.7341391978109438,0.7469136451285713
COVID-19,2020-03-18,0.7871155267264864,0.6963964824393386,0.7173241554095025
COVID-19,2020-03-19,0.787686807043547,0.6974685211473581,0.7146200840267647
COVID-19,2020-03-20,0.75832978439416,0.6759317500079717,0.6897318302203889
COVID-19,2020-03-23,0.7349038596318431,0.6621709126232518,0.6739901392018162
COVID-19,2020-03-24,0.8028077590990128,0.7350622809845493,0.7385212995546977
COVID-19,2020-03-25,0.8044349785563956,0.7534894773842953,0.7492603573585613
COVID-19,2020-03-26,0.8471882702515666,0.7991491438096302,0.7937330387065478
COVID-19,2020-03-27,0.8192510489003403,0.76212184803271,0.7595243717512186
COVID-19,2020-03-30,0.8542870378443287,0.7921009721287813,0.7905539424568111
COVID-19,2020-03-31,0.850957916002076,0.7884145229167246,0.7858403363664361
COVID-19,2020-04-01,0.8337246124049337,0.7568158193068777,0.7569945014030477
COVID-19,2020-04-02,0.8667135790837548,0.7812869762038239,0.7832174346743056
COVID-19,2020-04-03,0.8524823314935822,0.770447145031517,0.7732119528718564
COVID-19,2020-04-06,0.8940141217780178,0.8144492279438235,0.8140954027838931
China_2015,2015-08-10,1.0,1.0,1.0
China_2015,2015-08-11,0.9807719259347989,0.9887411330913705,0.9887411330913709
China_2015,2015-08-12,0.9885605435031084,0.9913233957281538,0.9913042478582954
China_2015,2015-08-13,0.9842835438542732,0.9880213076841783,0.9879474564994761
China_2015,2015-08-14,0.9872767537805167,0.9918802536287674,0.9917929128534625
China_2015,2015-08-17,0.9899557806477713,0.9929580138882602,0.992865625218798
