Event_Driven,Static_Graph,LSTM_SAC,Mean_Variance,Buy_and_Hold
100337.89085735726,104180.40333037531,100360.13000786811,95257.09510943822,102147.13066938304
99599.89280291997,103772.20932096966,100228.67490318758,93900.67260905808,101870.87172487636
100255.94698927844,103777.21158178791,100481.84952172112,93451.82641807747,102438.69429967222
101116.74139233114,102806.47792362244,99614.968595069,93821.24476836651,102053.84765360829
103125.68599013222,104667.80802175155,101268.96018918672,93551.9496526279,103539.87243890984
103084.64926963153,104188.704352135,101011.78599358884,93331.00820659174,103642.88190667701
102756.92299709373,104744.65534128831,101598.4041932585,92612.39393513791,104195.58974865483
103822.88107507108,105532.38181205215,101864.05504025702,90900.24602464784,104542.68541747813
104273.92873273723,105636.32530393978,102323.60904317223,91186.80183646316,105089.0339193624
105380.90523943321,105848.33150388455,102876.31274871787,92146.45951636074,105860.70076107132
104970.89961637201,105847.74466243069,102846.95368733222,91233.45958796448,105752.4346175397
105995.72537120484,105782.72324990724,102803.56033579004,90580.37599526177,105635.79516619584
106446.75645294697,106306.791887492,103039.23977960175,90960.25325904717,106139.49925560887
105749.82980158414,106555.99320790824,102467.06529789449,91080.19039126931,105520.49492498042
105708.8543261059,106792.31445924558,102418.88432513378,88736.9877990242,105629.4255748019
104396.92462619652,106803.07883459204,101954.26779712559,87027.96689355608,105090.75265188018
104929.9749923616,106351.53561107107,102288.34742713676,88348.3579289281,105580.06498083024
104273.97565285486,106432.74315392257,101358.95151430757,88543.29163913861,105008.88120714814
103782.03615614893,106511.10021617374,101391.78104440389,89366.96374123971,105052.41729801023
104684.07005040266,106232.27021819504,101205.46190928502,89222.37153540232,105097.13649617638
104560.75138858834,105140.54324342513,99814.80202022631,88467.82147883078,103810.56208918226
108701.3848883781,105495.90620789488,100126.70117371855,88033.9887329828,104826.04098083678
109357.56615592387,106891.5327997509,100500.90388645437,88417.53048995991,105744.29610730792
108824.55931074012,105822.98942167762,99903.42375680777,88159.73865649437,105443.93821462436
105995.67340511859,104640.79197217173,99310.8552270277,88316.93728655098,104310.68764977991
104929.86212510265,104454.52040197593,99540.1358961317,89077.76810389779,104362.36931003148
103782.02457325399,103596.40299291858,99655.73086063792,90775.41452263805,104259.18478025979
103043.92088591444,102320.92387563271,98189.11908012838,86740.63704014437,103296.87953125451
101731.81172714301,100702.08015905885,96316.68285768418,81711.67072151747,101678.12852380834
101362.72699833919,100519.43609807751,96861.98108635856,82136.22627966132,101649.03301864323
102100.7521925925,101464.84480148625,97355.97379687172,81974.77271758107,102217.85316422491
101198.62347234924,100886.32158054375,95858.43342357758,77603.66052929715,101251.46011597257
101444.64560135029,101755.66584881656,96413.70028731754,76320.40593907169,101770.78295578767
100624.59464003985,101126.44362565617,95756.15925349238,75448.1706792852,100680.01618608402
98205.35943457147,98799.82486367713,93561.04689517272,72153.4328835132,98390.27721687763
97672.44591604285,99429.46254880674,94020.0143919921,71199.83452461184,98539.72667281056
97362.00436891787,99760.30842809012,94019.74783825318,71536.71629754713,98231.86675384438
99307.32786658965,100873.52213489692,95185.66494142705,73182.3082108529,99576.21257575351
100218.17159901574,101642.7487401631,96708.27647274357,73363.71080899375,100853.32910494407
100549.27248283065,101757.32267121265,96687.0296120988,71965.62507631198,100851.39248184513
101294.60706478251,103093.46562930343,98150.86006236028,71375.46851937087,102379.59418080718
101625.71610723664,103284.47157490518,98058.77801045314,71474.01841967955,102448.8173269518
102246.6894890391,104017.92645426137,98708.86550884407,71655.92370147472,103093.56695727349
102495.12317725593,104422.2295505535,99016.8194595484,70307.62828962425,103586.23255065434
102495.20998927267,104410.62075368676,98991.99401543743,68356.75043266361,103651.05423053906
101418.99820398445,102980.18350106482,97541.22565851714,66431.08879546674,102816.0410971791
